symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-10-11 00:00:00+00:00,214.45,219.5,212.32,214.52,53124392,51.4185322689,52.6293673724,50.9078236014,51.4353161218,212497568,0.0,1.0
AAPL,2018-10-12 00:00:00+00:00,222.11,222.88,216.84,220.42,40337851,53.255165317,53.4397876992,51.9915809614,52.8499551537,161351404,0.0,1.0
AAPL,2018-10-15 00:00:00+00:00,217.36,221.83,217.27,221.16,30791007,52.1162610117,53.1880299053,52.0946817722,53.027384456,123164028,0.0,1.0
AAPL,2018-10-16 00:00:00+00:00,222.15,222.99,216.76,218.93,29183963,53.2647560901,53.4661623252,51.9723994152,52.4926988558,116735852,0.0,1.0
AAPL,2018-10-17 00:00:00+00:00,221.19,222.64,219.34,222.3,22885397,53.0345775358,53.3822430606,52.59100428,53.3007214892,91541588,0.0,1.0
AAPL,2018-10-18 00:00:00+00:00,216.02,219.74,213.0,217.86,32581315,51.7949701129,52.686912011,51.0708667441,52.2361456754,130325260,0.0,1.0
AAPL,2018-10-19 00:00:00+00:00,219.31,221.26,217.43,218.06,33078726,52.5838112002,53.0513613887,52.1330448646,52.2840995409,132314904,0.0,1.0
AAPL,2018-10-22 00:00:00+00:00,220.65,223.36,218.94,219.79,28792082,52.905102099,53.5548769763,52.4950965491,52.6989004774,115168328,0.0,1.0
AAPL,2018-10-23 00:00:00+00:00,222.73,223.25,214.7,215.83,38767846,53.4038223,53.5285023503,51.4784746007,51.7494139407,155071384,0.0,1.0
AAPL,2018-10-24 00:00:00+00:00,215.09,224.23,214.54,222.6,40925163,51.5719846384,53.7634762912,51.4401115083,53.3726522875,163700652,0.0,1.0
AAPL,2018-10-25 00:00:00+00:00,219.8,221.38,216.75,217.71,29855768,52.7012981706,53.080133708,51.970001722,52.2001802763,119423072,0.0,1.0
AAPL,2018-10-26 00:00:00+00:00,216.3,220.19,212.67,215.9,47258375,51.8621055246,52.7948082083,50.991742866,51.7661977936,189033500,0.0,1.0
AAPL,2018-10-29 00:00:00+00:00,212.24,219.69,206.09,219.19,45935520,50.8886420552,52.6749235446,49.4140606915,52.5550388809,183742080,0.0,1.0
